match_id,Winner
19600529-M-Roland_Garros-F-Nicola_Pietrangeli-Luis_Ayala,1
19600704-M-Wimbledon-F-Rod_Laver-Neale_Fraser,2
19690703-M-Wimbledon-SF-Rod_Laver-Arthur_Ashe,1
19690706-M-Wimbledon-F-John_Newcombe-Rod_Laver,2
19690907-M-US_Open-F-Rod_Laver-Tony_Roche,1
19700704-M-Wimbledon-F-John_Newcombe-Ken_Rosewall,1
19710704-M-Wimbledon-F-John_Newcombe-Stan_Smith,1
19710916-M-US_Open-F-Jan_Kodes-Stan_Smith,2
19720910-M-US_Open-F-Arthur_Ashe-Ilie_Nastase,2
19730603-M-Roland_Garros-F-Nikola_Pilic-Ilie_Nastase,2
19730909-M-US_Open-F-Jan_Kodes-John_Newcombe,2
19740707-M-Wimbledon-F-Ken_Rosewall-Jimmy_Connors,2
19740714-M-Bastad-F-Bjorn_Borg-Adriano_Panatta,1
19740908-M-US_Open-F-Ken_Rosewall-Jimmy_Connors,2
19750101-M-Australian_Open-F-Jimmy_Connors-John_Newcombe,2
19750703-M-Wimbledon-SF-Tony_Roche-Arthur_Ashe,2
19750907-M-US_Open-F-Manuel_Orantes-Jimmy_Connors,1
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,1
19760611-M-Roland_Garros-QF-Raul_Ramirez-Balazs_Taroczy,1
19761011-M-WITC_Hilton_Head-SF-Rod_Laver-Bjorn_Borg,2
19770109-M-Australian_Open-F-Roscoe_Tanner-Guillermo_Vilas,1
19770911-M-US_Open-F-Guillermo_Vilas-Jimmy_Connors,1
19780108-M-Tour_Finals-F-Bjorn_Borg-Jimmy_Connors,2
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,2
19780611-M-Roland_Garros-F-Bjorn_Borg-Guillermo_Vilas,1
19780715-M-Forest_Hills_WCT-SF-Ilie_Nastase-John_Mcenroe,1
19790107-M-Australian_Open-F-John_Marks-Guillermo_Vilas,2
19790114-M-Masters-F-Arthur_Ashe-John_Mcenroe,2
19790922-M-Palermo-SF-Corrado_Barazzutti-Adriano_Panatta,1
19791005-M-Davis_Cup_SF-RR-Ivan_Lendl-Adriano_Panatta,2
19800112-M-Tour_Finals-SF-Vitas_Gerulaitis-Jimmy_Connors,1
19800113-M-Tour_Finals-F-Vitas_Gerulaitis-Bjorn_Borg,2
19800606-M-Roland_Garros-SF-Bjorn_Borg-Harold_Solomon,1
19800608-M-Roland_Garros-F-Vitas_Gerulaitis-Bjorn_Borg,2
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2
19800705-M-Wimbledon-SF-Brian_Gottfried-Bjorn_Borg,2
19800705-M-Wimbledon-SF-John_Mcenroe-Jimmy_Connors,1
19800906-M-US_Open-SF-Johan_Kriek-Bjorn_Borg,2
19800906-M-US_Open-SF-John_Mcenroe-Jimmy_Connors,1
19800907-M-US_Open-F-John_Mcenroe-Bjorn_Borg,1
19801110-M-Stockholm-F-John_Mcenroe-Bjorn_Borg,2
19801205-M-Davis_Cup_World_Group_F-RR-Tomas_Smid-Adriano_Panatta,1
19810104-M-Australian_Open-F-Kim_Warwick-Brian_Teacher,2
19810118-M-Tour_Finals-F-Ivan_Lendl-Bjorn_Borg,2
19810605-M-Roland_Garros-SF-Jose_Luis_Clerc-Ivan_Lendl,2
19810605-M-Roland_Garros-SF-Victor_Pecci-Bjorn_Borg,2
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,1
19810703-M-Wimbledon-SF-Bjorn_Borg-Jimmy_Connors,1
19810703-M-Wimbledon-SF-John_Mcenroe-Rod_Frawley,1
19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1
19810911-M-US_Open-SF-Vitas_Gerulaitis-John_Mcenroe,2
19810912-M-US_Open-SF-Jimmy_Connors-Bjorn_Borg,2
19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,1
19820113-M-Tour_Finals-F-Vitas_Gerulaitis-Ivan_Lendl,2
19820508-M-Forest_Hills-F-Eddie_Dibbs-Ivan_Lendl,2
19820531-M-Roland_Garros-R16-Mats_Wilander-Ivan_Lendl,1
19820531-M-Roland_Garros-R16-Yannick_Noah-Wojtek_Fibak,1
19820606-M-Roland_Garros-F-Guillermo_Vilas-Mats_Wilander,2
19820703-M-Wimbledon-SF-Mark_Edmondson-Jimmy_Connors,2
19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,2
19820709-M-Davis_Cup_EUR_SF-RR-Ivan_Lendl-Yannick_Noah,2
19820911-M-US_Open-SF-John_Mcenroe-Ivan_Lendl,2
19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,1
19821213-M-Australian_Open-F-Steve_Denton-Johan_Kriek,2
19830123-M-Tour_Finals-F-John_Mcenroe-Ivan_Lendl,2
19830603-M-Roland_Garros-SF-Mats_Wilander-Jose_Higueras,1
19830603-M-Roland_Garros-SF-Yannick_Noah-Christophe_Roger_Vasselin,1
19830605-M-Roland_Garros-F-Mats_Wilander-Yannick_Noah,2
19830701-M-Wimbledon-SF-Chris_Lewis-Kevin_Curren,1
19830701-M-Wimbledon-SF-John_Mcenroe-Ivan_Lendl,1
19830703-M-Wimbledon-F-Chris_Lewis-John_Mcenroe,2
